Dealer Code,Name,City,State,Pincode,Fuel Price,Latitude,Longitude
145325,MANIKANTA FILLING STATION,BHOOPALAPALLY,Telangana,506168,96.0,18.420793,79.858837
145333,BP CENTRE,PALI,Rajasthan,306104,90.61,25.931726,73.696804
145334,MAYANK FILLING STATION,CHARADIH,Jharkand,825409,93.49,24.448879,85.56292
145337,ARJUN CHETRI & SONS,PAKYONG,Sikkim,737106,,27.2375608,88.5932528
145338,KALRA BUS SERVICE,JAIPUR CITY,Rajasthan,302001,90.24,26.921161,75.730889
145339,KEKRI FILLING STATION,KEKRI,Rajasthan,305404,90.6,25.975187,75.146229
145340,RANABAI PETROLEUM,KISHANGARH,Rajasthan,305801,90.23,26.616434,74.849254
145344,RAJENDRA & SONS,JAMSHEDPUR,Jharkand,831002,92.58,22.75427,86.21167
145351,SR PETROLEUM,BORAWAR,Rajasthan,341505,90.76,27.02634,74.682291
145354,DADOO FILLING STATION,KHILWAI GARH MUKTESHWAR,Uttar Pradesh,245205,87.63,28.811105,78.042586
145355,KACHHAWAHA BUS SERVICE,PALI,Rajasthan,306401,90.5,25.803686,73.398225
145356,SWASTIK FILLING STATION-BAM,ASKA ROAD,Odisha,760006,94.13,19.334598,84.76858
145358,SURYA FUEL,DHENKANAL,Odisha,759001,93.3,20.625325,85.628125
145359,KARDHANI FUEL CENTRE,JAIPUR,Rajasthan,302012,90.24,26.950525,75.70951
145362,SVN ENTERPRISES,GARA,Andhra Pradesh,532405,97.51,18.326387,84.050597
145363,KAMESWARI FILLING STATION,PUNDI,Andhra Pradesh,532218,97.84,18.667477,84.374909
145364,MANIKANTA FILLING STATION,JAMI,Andhra Pradesh,535250,96.62,18.049283,83.277784
145367,AVM FUELS,CHENNAI,Tamil Nadu,600088,92.4,12.993853,80.206509
145369,LRK.LAKSHMI NARMADA DORAIRAJ FUELS,VELLORE,Tamil Nadu,632001,93.67,12.902393285,79.131461122
145371,KRIS ENTERPRISE,NEELANGARAI,Tamil Nadu,600041,92.46,12.947066,80.253958
145378,LAVANYA ENTERPRISES,"HALHARVI,NEAR CHATRAGUDI JUNCTION",Andhra Pradesh,518348,,15.329635,77.155952
145393,SANMATI PETROLEUM,BATTIAGADH,Madhya Pradesh,470661,92.59,24.112014,79.346695
145395,MAA JWALAJI FILLING STATION,JAWALAMUKHI,Himachal Pradesh,176031,86.06,31.872239,76.300275
145397,SARJANT FILLING STATION,BHADAUR,Punjab,148002,87.72,30.477237,75.295198
145408,DAULAT SERVICE STATION,BHUGAON,Maharashtra,411021,90.42,18.501765,73.757621
145409,MAULI PETROLEUM,PUNE,Maharashtra,411045,90.33,18.55546,73.800032
145416,INDUBAALA CARRIERS,"KEESRA MANDAL, HYDERABAD",Telangana,500094,95.7,17.482871,78.551968
145417,BAGAVATHI PRIYA ENERGY,MADHAVARAM,Tamil Nadu,600110,92.41,13.142477,80.219678
145421,BHARAT PETRO STATION,AMRITSAR,Punjab,143116,87.68,31.671015,75.175009
145423,TARUN FUELS,BANKI MONGRA,Chhattisgarh,495447,93.1,22.407151,82.604031
145424,TAMRAKAR FUELS,GANDAI,Chhattisgarh,491888,94.11,21.659969,81.107612
145425,REACH (CARGO MOVERS),URAIDABRI,Chhattisgarh,491557,94.27,21.073928,80.755603
145426,PUJARI FUELS,RAIPUR,Chhattisgarh,492001,93.41,21.224383,81.65484
145427,SHAKUN-DEV FUELS,RAMPUR,Uttar Pradesh,244926,88.05,28.758503,79.047702
145428,PADHI FILLING STATION,NUAPARA,Odisha,766105,94.22,20.788561,82.538654
145431,PANDIT SERVICE STATION,CHATHE NANHERA,Punjab,148028,87.27,30.070129,75.877045
145432,DHARAM CHAND VIR BHAN,CHURAL KALAN,Punjab,148033,87.51,29.815479,75.810875
145433,RANDHAWA TRANSPORT SERVICE,MAJHI,Punjab,148026,87.27,30.28472,76.078758
145434,BHADORA SERVICE STATION,PALI TOWN,Uttar Pradesh,284403,88.52,24.495894,78.410043
145435,S.D.PETROPOINT,JALANDHAR,Punjab,144201,87.34,31.528758,75.637172
145436,BINDRA PETRO POINT,JALANDHAR,Punjab,144001,87.41,31.266382,75.538817
145437,BHONDELE FILLING STATION,POORAKALAN,Uttar Pradesh,284126,88.04,25.050928,78.609562
145438,SAKSHAT FILLING STATION,VILLAGE-BAGWACHI,Uttar Pradesh,262701,87.92,27.953974,80.230668
145439,SHREYASH FILLING STATION,VILLAGE PANGI KHURD,Uttar Pradesh,262701,88.56,27.912568,80.833452
145440,GURUNANAK AUTO FUEL CENTRE,VILLAGE-NARAYANPUR VIKRAMPUR,Uttar Pradesh,242001,88.19,28.204551,80.262747
145447,SHREE LAXMI NARAYAN FUELING STATION,TALUKA - MALVAN,Maharashtra,416604,92.09,16.086463,73.624652
145449,SHAKTI SERVICE STATION,NH 42,Odisha,759019,93.67,20.7728253,85.4005801
145451,D.B.SERVICE CENTER,ROURKELA,Odisha,769012,93.62,22.236819,84.771624
145453,BALIAN GAS STATION,BHALWAN,Punjab,148001,87.23,30.324653,75.950512
145455,BANSAL FILLING STATION,WARRING,Punjab,152025,87.73,30.526276,74.650133
145456,SWARN FILLING STATION,SANGHA,Punjab,151507,87.78,29.549273,75.265183
145457,AGGARWAL AGRO FUELS,BHATINDA,Punjab,151201,87.44,30.329784,74.866511
145493,ENNORE PETROLEUM COMPANY,"ENNORE, CHENNAI",Tamil Nadu,600103,,13.201792,80.270024
145498,R.K.FILLING,MAHARAJGANJ,Uttar Pradesh,273305,88.69,27.091045,83.609916
145499,AMBADEVI & CO.,HYDERABAD,Telangana,500005,95.7,17.330871,78.488427
145514,BP RANCHI,RANCHI,Jharkand,834002,92.64,23.350412,85.311327
145516,DASHMESH FILLING STATION,IKOLAHA,Punjab,141401,87.73,30.687504,76.171063
145517,SHRI BALAJI POWER POINT,LUDHIANA,Punjab,141010,88.12,30.864998,75.926739
145518,HI-TECH FUEL STATION,MALAVALLI,Karnataka,571430,90.94,12.389569,77.058701
145521,KAHLON FILLING STATION,BATALA,Punjab,143505,88.0,31.833371,75.217169
145522,HIRALAL ENTERPRISES,KANPUR,Uttar Pradesh,208020,87.54,26.460243,80.259193
145531,MAHAKAL FILLING STATION,UJJAIN,Madhya Pradesh,456010,92.27,23.190143,75.820549
145533,NEW SHALIMAR ROADWAYS,DEWAS,Madhya Pradesh,455001,91.89,22.951768,76.078022
145534,BAJAJ FILLING STATION,BADOD,Madhya Pradesh,465550,93.17,23.782242,75.80186
145535,SAMRIDHI  SALES,DEWAS,Madhya Pradesh,455001,91.89,22.982386,76.033716
145536,SARTHI FUEL STATION,KURHANI,Bihar,844120,92.25,26.01065,85.328009
145544,SAMBARIYA FILLING STATION,DIGOD,Rajasthan,325201,89.79,25.218505,76.071022
145546,PPS DISTRIBUTORS,VIKAS NAGAR,Uttar Pradesh,226004,87.79,26.838041,80.897586
145548,CHAUDHARY FILLING STATION,RAIPUR,Rajasthan,326036,90.76,24.374464,76.181374
145549,SUNEL FILLING STATION,SUNEL,Rajasthan,326513,90.73,24.381234,75.949666
145550,VEER TEJA FILLING STATION,AKLERA,Rajasthan,326033,90.96,24.420079,76.539807
145551,DEEGWAL FILLING STATION,MANGROL,Rajasthan,325215,90.29,25.332891,76.499157
145557,ANGALAMMAN AGENCY,ERODE,Tamil Nadu,638011,92.94,11.34288,77.706627
145563,VERMA BROTHERS,JEETAMAU,Uttar Pradesh,261135,88.82,27.639689,80.941579
145566,MAHAKALIKA FILLING STN,BANDERWARA,Rajasthan,305621,90.26,26.084789,74.679424
145571,AUTOLIFE,SIROHI,Rajasthan,307001,91.4,24.91068,72.859349
145601,KIRAN FILLING STATION,HARIT,West Bengal,712305,92.43,22.927264,88.265107
145606,BHARAT FUELS,JODHPUR,Rajasthan,342001,90.05,26.303408,72.995892
145607,SHREE RAM KRIPA FILLING STATION,UDAIPUR,Rajasthan,313003,90.96,24.572233,73.743413
145612,KESAR SINGH & SONS,RUDRAPUR,Uttrakhand,263153,87.87,28.949977,79.439919
145613,DASHMESH SERVICE STATION,KASHIPUR,Uttrakhand,244713,88.31,29.193961,78.959362
145623,AGNI FUELS,ENATHU,Kerala,691526,95.64,9.097928,76.752328
145626,SAI KRISHNA SHASHANK FILLING STATIO,JOGIPET,Telangana,502273,96.33,17.84068,78.070167
145627,SPANDANA FILLING STATION,TOGUTTA,Telangana,502372,96.07,18.006723,78.715893
145636,NITHYA SERVICE STATION,DAULATABAD,Telangana,502247,96.1,17.994846,78.566979
145637,PERVEZ FILLING STATION,PERKIT,Telangana,503224,97.05,18.803727,78.314218
145641,SRI SAI CHANDRA FILLING STATION,JAGDEVPUR,Telangana,502103,95.92,17.7742,78.800079
145644,SUNRISE TRAVELS,BHILGAON,Maharashtra,440007,90.61,21.205084,79.148555
145647,VIJAY FILLING STATION,DABRAI,Uttar Pradesh,207120,87.42,27.6250814,78.5547283
145650,SHRI GIRIRAJ FILLING STATION,KASGANJ,Uttar Pradesh,207123,88.1,27.845003,78.690781
145653,SRI RAMA FILLING STATION,MARIKAL,Telangana,509351,96.92,16.60246,77.733438
145654,P C & COMPANY,ALLAHABAD,Uttar Pradesh,211003,87.81,25.430219,81.831778
145664,SALASAR SERVICE STATION,REWARI,Haryana,123401,87.55,28.126645,76.639058
145665,SHYAMA FILLING STATION,REWARI,Haryana,122001,87.55,28.079272,76.512224
145666,KAMAKHYA FUEL POINT,BODHAKALAN,Haryana,122413,87.83,28.276786,76.846898
145668,SATNAAM PETRO POINT,JALANDHAR,Punjab,144040,87.47,31.157923,75.435258
145670,PRAJAKTA PETROLEUM,LONI,Maharashtra,412201,90.24,18.48915,74.023323
145683,GAGAN FILLING STATION,KOTHE SARAN,Punjab,148101,87.44,30.313057,75.501202
145684,JHANDUKE FILLING STATION,JHANDUKE,Punjab,151506,87.68,29.752604,75.333841
145693,BHARAT FILLING STATION,VETAPALEM,Andhra Pradesh,523187,96.91,15.770135,80.298668
145694,ESWARA REDDY FILLING STATION,BESTAVARIPETA,Andhra Pradesh,523334,97.57,15.538113,79.098187
145695,PURVAJ FUELS,KOTA,Andhra Pradesh,524411,97.55,14.029028,80.033911
145698,SHYAM LALL & CO.,SRINAGAR,Jammu & Kashmir,190001,86.67,34.081829,74.788171
145707,SRI SRINIVASA FILLING STATION,PONNALUR,Andhra Pradesh,523109,96.84,15.26808,79.805077
145708,SRI LAXMI VENKATESWARA FILLING.STN,BALLIKURAVA,Andhra Pradesh,523301,97.1,16.00248,80.027161
145714,SENNI AGENCY,COIMBATORE,Tamil Nadu,641671,93.04,10.83805,77.275146
145716,SRI VENKATESWAR AGENCY,COIMBATORE,Tamil Nadu,641004,92.91,11.021936,76.998194
145717,PEE KAY PETRO STOP,MADATHUKULAM,Tamil Nadu,642113,93.45,10.559864,77.36021
145718,SHANTHI PETROL BUNK,KARUMATHAMPATTI,Tamil Nadu,641659,92.79,11.124182,77.193884
